Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"1 BHK House for Sale in Phase 7 JP Nagar, JP Nagar",₹1.60 Cr,,2+,₹13333 per sqft,Carpet Area,4500 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,,,,,Bathroom,1,Balcony,1
"Plot/Land for Sale in Phase 2nd JP Nagar, JP Nagar",₹2.52 Cr,,4+,₹10500 per sqft,Plot Area,2400 sqft,,,floors allowed for construction,1,Transaction,New Property,,,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,,,,
"4 BHK House for Sale in Phase 6 JP Nagar, JP Nagar",₹2 Cr,,14+,₹4167 per sqft,Super Area,4800 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,5,Balcony,2
"3 BHK Apartment for Sale in Phase 8th JP Nagar, JP Nagar",₹1 Cr,,1,₹7333 per sqft,Carpet Area,1230 sqft,Under Construction,Poss. by Dec '24,Floor,4 out of 6,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
"3 BHK Apartment for Sale in Phase 8th JP Nagar, JP Nagar",₹1.04 Cr,,3+,₹7332 per sqft,Carpet Area,1020 sqft,Under Construction,Poss. by Dec '24,Floor,4 out of 6,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,2
"3 BHK Apartment for Sale in Phase 8th JP Nagar, JP Nagar",₹1.09 Cr,,3+,₹7333 per sqft,Carpet Area,1092 sqft,Under Construction,Poss. by Dec '24,Floor,4 out of 6,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
"House for Sale in Phase 7 JP Nagar, JP Nagar",₹2.40 Cr,,N/A,₹4800 per sqft,Super Area,5000 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Freehold,Car Parking,1 Covered,,,,
"3 BHK Apartment for Sale in Phase 9th JP Nagar, JP Nagar",₹1.30 Cr,Vaishnavi Oasis,26+,₹8541 per sqft,Super Area,1522 sqft,Status,Ready to Move,Floor,1 out of 15,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,2
4 BHK House for Sale in JP Nagar Bangalore,₹1.80 Cr,,1,₹7500 per sqft,Carpet Area,1200 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,4,Balcony,2
"> 10 BHK House for Sale in Phase 8th JP Nagar, JP Nagar",₹3.60 Cr,,N/A,₹5714 per sqft,Super Area,6300 sqft,,,Floor,Ground out of 4,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,> 10,,
