Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.20 Cr,Kristal Moonstone,6+,₹14915 per sqft,Carpet Area,1175 sqft,Status,Ready to Move,Floor,2 out of 5,Transaction,Resale,Furnishing,Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹1.90 Cr,Indus Signature,11+,₹11176 per sqft,Carpet Area,1557 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,4
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.70 Cr,Godrej Athena,4+,₹15789 per sqft,Carpet Area,1103 sqft,Under Construction,Poss. by Jan '28,Floor,12 out of 20,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,,,Bathroom,3,Balcony,2
"3 BHK Builder Floor for Sale in Doopanahalli, Indira Nagar",₹2.10 Cr,,9+,₹14237 per sqft,Super Area,1475 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,,,,,Car Parking,1 Covered,Bathroom,3,Balcony,2
"2 BHK Apartment for Sale in Defence Colony-Indira nagar, Indira Nagar",₹2.30 Cr,Godrej Athena,10+,₹16583 per sqft,Carpet Area,864 sqft,Under Construction,Poss. by Jun '26,Floor,2 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹5.04 Cr,Dharmika Sansa,2+,₹22500 per sqft,Carpet Area,1700 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Power Of Attorney,,,Bathroom,3,Balcony,4
Plot/Land for Sale in Indira Nagar Bangalore,₹7 Cr,,N/A,₹25000 per sqft,Plot Area,2800 sqft,,,,,Transaction,Resale,,,,,Ownership,Freehold,,,,,,
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹95 Lac,,12+,₹8636 per sqft,Carpet Area,960 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹1.46 Cr,Blueberry Apartments,9+,₹13519 per sqft,Carpet Area,800 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,2
Plot/Land for Sale in Indira Nagar Bangalore,₹27 Cr,Defence Colony,6+,₹38571 per sqft,Plot Area,7000 sqft,,,floors allowed for construction,4,Transaction,Resale,,,overlooking,Garden/Park,Ownership,Freehold,,,,,,
Plot/Land for Sale in Indira Nagar Bangalore,₹7.92 Cr,,4+,₹30000 per sqft,Plot Area,2640 sqft,,,floors allowed for construction,4,Transaction,Resale,,,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,,,,,,
"3 BHK Apartment for Sale in Doopanahalli, Indira Nagar",₹2.99 Cr,Godrej Athena,11+,₹14585 per sqft,Carpet Area,1288 sqft,Under Construction,Poss. by Jun '27,Floor,2 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,3
Plot/Land for Sale in Indira Nagar Bangalore,Call for Price,Prakruthi Dham Apartments,N/A,N/A,Plot Area,1200 sqft,,,floors allowed for construction,4,Transaction,Resale,,,,,,,,,,,,
2 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.26 Cr,Godrej Athena,11+,₹17411 per sqft,Carpet Area,854 sqft,Under Construction,Poss. by Jun '26,Floor,3 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,1
Plot/Land for Sale in Indira Nagar Bangalore,₹16.80 Cr,,3+,₹42000 per sqft,Plot Area,4000 sqft,,,floors allowed for construction,4,Transaction,Resale,,,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,,,,,,
"3 BHK House for Sale in Indira nagar Stage 2, Indira Nagar",₹1.50 Cr,,7+,₹9677 per sqft,Carpet Area,600 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Furnished,,,,,,,Bathroom,4,Balcony,2
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.50 Cr,,1,₹13966 per sqft,Super Area,1790 sqft,Status,Ready to Move,Floor,Lower Basement out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,Garden/Park,,,,,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.50 Cr,Team Heritage,11+,N/A,Carpet Area,1825 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,1
"4 BHK House for Sale in Indira nagar Stage 2, Indira Nagar",₹2 Cr,,11+,₹10000 per sqft,Super Area,2000 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Unfurnished,,,,,,,Bathroom,4,,
"3 BHK Apartment for Sale in Defence Colony-Indira nagar, Indira Nagar",₹6.05 Cr,White Lotus Tamara,5+,₹24200 per sqft,Carpet Area,2000 sqft,Under Construction,Poss. by Jan '25,Floor,1 out of 3,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,4,Balcony,2
6 BHK House for Sale in Indira Nagar Bangalore,₹80 Lac,,1,₹6667 per sqft,Super Area,1200 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,,,,,,,Bathroom,6,,
"3 BHK Builder Floor for Sale in Defence Colony-Indira nagar, Indira Nagar",₹5.20 Cr,,9+,₹22128 per sqft,Carpet Area,1950 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.60 Cr,Godrej Athena,4+,₹15205 per sqft,Super Area,1710 sqft,Under Construction,Poss. by Jan '28,Floor,1 out of 4,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,1 Covered,Bathroom,2,Balcony,2
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹2.99 Cr,Madrid Residences,13+,₹14876 per sqft,Carpet Area,1620 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,3
"3 BHK Apartment for Sale in Indira nagar Stage 2, Indira Nagar",₹2.45 Cr,,4+,₹13726 per sqft,Carpet Area,1400 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,3
3 BHK Apartment for Sale in Indira Nagar Bangalore,₹1.25 Cr,,N/A,₹8591 per sqft,Carpet Area,1393 sqft,Under Construction,Poss. by Feb '25,Floor,2 out of 4,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,3
